Type,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,Gross PnL,Net PnL,Charges,Exit Reason,Cumulative Net PnL,Equity,Peak,Drawdown
LONG,2026-03-16 09:19:00+05:30,2026-03-16 09:47:00+05:30,1381.19,1382.25,20,21.27,-8.48,29.75,SL_HIT,-8.48,99991.52,99991.52,0.0
SHORT,2026-03-16 11:19:00+05:30,2026-03-16 12:20:00+05:30,1377.31,1378.96,20,-32.99,-62.68,29.69,SL_HIT,-71.16,99928.84,99991.52,-0.0006268531571478017
SHORT,2026-03-18 09:19:00+05:30,2026-03-18 09:50:00+05:30,1406.3,1410.22,20,-78.39,-108.56,30.17,SL_HIT,-179.72,99820.28,99991.52,-0.0017125452238350336
SHORT,2026-03-18 12:52:00+05:30,2026-03-18 15:15:00+05:30,1407.7,1409.0,20,-26.17,-56.34,30.17,TIME_EXIT,-236.06,99763.94,99991.52,-0.0022759930042067743
LONG,2026-03-19 09:18:00+05:30,2026-03-19 10:57:00+05:30,1400.3,1408.52,20,164.44,134.34,30.11,SL_HIT,-101.72,99898.28,99991.52,-0.0009324790742255467
LONG,2026-03-19 11:16:00+05:30,2026-03-19 11:43:00+05:30,1406.5,1401.36,20,-102.9,-133.0,30.1,SL_HIT,-234.72,99765.28,99991.52,-0.002262591867790441
SHORT,2026-03-20 09:19:00+05:30,2026-03-20 09:28:00+05:30,1407.8,1412.02,20,-84.58,-114.78,30.19,SL_HIT,-349.5,99650.5,99991.52,-0.003410489209485005
